,latitude,longitude,year,pct_treecanopy,pct_annual_herbcov,pct_bareground,pct_herbcov,pct_plantlittercov,pct_shrubcov
0,37.60413,-110.0472,1980,0,0,84,5,11,7
1,37.60413,-110.0472,1980,0,0,84,5,11,7
2,37.60413,-110.0472,1980,0,0,84,5,11,7
3,37.60413,-110.0472,1980,0,0,84,5,11,7
4,37.60413,-110.0472,1980,0,0,84,5,11,7
5,37.60413,-110.0472,1981,0,0,84,5,11,7
6,37.60413,-110.0472,1981,0,0,84,5,11,7
7,37.60413,-110.0472,1982,0,0,84,5,11,7
8,37.60413,-110.0472,1982,0,0,84,5,11,7
9,37.60413,-110.0472,1983,0,0,84,5,11,7
10,37.60413,-110.0472,1983,0,0,84,5,11,7
11,37.60413,-110.0472,1984,0,0,84,5,11,7
12,37.60413,-110.0472,1984,0,0,84,5,11,7
13,37.60413,-110.0472,1984,0,0,84,5,11,7
14,37.60413,-110.0472,1984,0,0,84,5,11,7
15,37.60413,-110.0472,1984,0,0,84,5,11,7
16,37.60413,-110.0472,1985,0,0,84,5,11,7
17,37.60413,-110.0472,1985,0,0,84,5,11,7
18,37.60413,-110.0472,1986,0,0,84,5,11,7
19,37.60413,-110.0472,1986,0,0,84,5,11,7
20,37.60413,-110.0472,1987,0,0,84,5,11,7
21,37.60413,-110.0472,1987,0,0,84,5,11,7
22,37.60413,-110.0472,1988,0,0,84,5,11,7
23,37.60413,-110.0472,1988,0,0,84,5,11,7
24,37.60413,-110.0472,1989,0,0,84,5,11,7
25,37.60413,-110.0472,1989,0,0,84,5,11,7
26,37.60413,-110.0472,1990,0,0,84,5,11,7
27,37.60413,-110.0472,1990,0,0,84,5,11,7
28,37.60413,-110.0472,1991,0,0,84,5,11,7
29,37.60413,-110.0472,1991,0,0,84,5,11,7
30,37.60413,-110.0472,1992,0,0,84,5,11,7
31,37.60413,-110.0472,1992,0,0,84,5,11,7
32,37.60413,-110.0472,1993,0,0,84,5,11,7
33,37.60413,-110.0472,1993,0,0,84,5,11,7
34,37.60413,-110.0472,1994,0,0,84,5,11,7
35,37.60413,-110.0472,1994,0,0,84,5,11,7
36,37.60413,-110.0472,1995,0,0,84,5,11,7
37,37.60413,-110.0472,1995,0,0,84,5,11,7
38,37.60413,-110.0472,1996,0,0,84,5,11,7
39,37.60413,-110.0472,1996,0,0,84,5,11,7
