,year,latitude,longitude,precipitation_winter,precipitation_summer,precipitation_annual,volwater_winter,volwater_spring,volwater_summer,volwater_fall
0,1980,37.60413,-110.0472,13.79,2.69,13.79,,,,
1,1980,37.60413,-110.0472,13.79,2.69,13.79,,,,
2,1980,37.60413,-110.0472,13.79,2.69,2.69,,,,
3,1980,37.60413,-110.0472,13.79,2.69,2.69,,,,
4,1980,37.60413,-110.0472,,,,0.113446870121374,0.0968307000817686,0.0418759016244813,0.0522975530246468
5,1981,37.60413,-110.0472,2.25,9.39,11.75,,,,
6,1981,37.60413,-110.0472,,,,0.0493818429749227,0.0607271763138207,0.042638677058618,0.0936706801337167
7,1982,37.60413,-110.0472,4.12,9.5,5.1,,,,
8,1982,37.60413,-110.0472,,,,0.10923419815776,0.074816656350205,0.0456102614659084,0.067789179449076
9,1983,37.60413,-110.0472,7.09,10.22,,,,,
10,1983,37.60413,-110.0472,,,,0.120417790064078,0.102542232457485,0.0441405045657255,0.0748017843161072
11,1984,37.60413,-110.0472,4.77,9.49,9.49,,,,
12,1984,37.60413,-110.0472,4.77,9.49,9.49,,,,
13,1984,37.60413,-110.0472,4.77,9.49,4.77,,,,
14,1984,37.60413,-110.0472,4.77,9.49,4.77,,,,
15,1984,37.60413,-110.0472,,,,0.12020917105988,0.0778415353800625,0.0431793329961535,0.0703661709360139
16,1985,37.60413,-110.0472,7.66,4.81,16.19,,,,
17,1985,37.60413,-110.0472,,,,0.118680855786845,0.106539194509477,0.0433948666674286,0.107372502142818
18,1986,37.60413,-110.0472,2.19,9.85,6.45,,,,
19,1986,37.60413,-110.0472,,,,0.115208201489448,0.0759150799154722,0.0442455160278947,0.104274985193695
20,1987,37.60413,-110.0472,6.03,11.04,11.04,,,,
21,1987,37.60413,-110.0472,,,,0.125524065448268,0.0917965501171645,0.0482605574067661,0.0806719957947334
22,1988,37.60413,-110.0472,5.44,7.98,5.44,,,,
23,1988,37.60413,-110.0472,,,,0.116751888373809,0.089994715502913,0.0424124689764448,0.0486616953770378
24,1989,37.60413,-110.0472,5.13,6.69,1.81,,,,
25,1989,37.60413,-110.0472,,,,0.0491748863653843,0.0544614355128569,0.0436590329146498,0.0415335584513754
